Name;Description
VAL_23_PIC_92538_06:Z.X.Value;PH 1stStgComp STV Perf Limit 1 PV
VAL_23_PIC_92538_07:Z.X.Value;PH 1stStgComp Perf Limit 1 SP
VAL_23_PIC_92538_08:Z.X.Value;PH 1stStgComp STV Perf Limit 2 PV
VAL_23_PIC_92538_09:Z.X.Value;PH 1stStgComp STV Perf Limit 2 SP
VAL_23_PIC_92538_12:Z.X.Value;PH Limit Loop 3 Process Variable
VAL_23_PIC_92538_13:Z.X.Value;PH Limit Loop 3 Set Point
VAL_23_PT_92531:Z.X.Value;PH 1stStgComp Suction
VAL_23_TT_92532:Z.X.Value;PH 1stStgComp Suction Temp
VAL_23_TT_96101_01:Z.X.Value;PH 1stStg Comp Journ BRG DE
VAL_23_TT_96102_01:Z.X.Value;PH 1stStg Comp Journ BRG NDE
VAL_23_TT_96131_02:Z.X.Value;PH 1stStg Journ BRG NDE
VAL_23_TT_96132_02:Z.X.Value;PH 1stStg Journ BRG DE
VAL_23_YT_96133_01:Z.X.Value;PH 1stStg MtrJourn BRG NDE
VAL_23_YT_96133_02:Z.X.Value;PH 1stStg MtrJourn BRG NDE
VAL_23_YT_96134_01:Z.X.Value;PH 1stStg Mtr Journ BRG DE
VAL_23_YT_96134_02:Z.X.Value;PH 1stStg Mtr Journ BRG DE
VAL_23_ZT_92538:Z.X.Value;PH 1stStgComp Valve Position
VAL_23_ZT_92543:Z.X.Value;PH 1stStgComp Valve Pos
