Name;Description
VAL_23-LY-92529_SILch0_SC0_WATCHDOG:VALUE;PH (Profiler) Shutdown Channel 0 - Watchdog
VAL_23-PC-9109-M01-39:X.Value;PH 1st Stg Aux Oil Pump Running
VAL_23-PC-9109-M01-EL:XS.MeasuredValues.CurrentL2.Value.Value;PH 1stStg Comp Lube Oil Pump
VAL_23-PC-9109-M01:Z.Y.Value;PH 1stStg Comp Lube Oil Pump
VAL_23-PDT-92501:X.Value;PH 1stStgSuctCool Gas In ESDV
VAL_23-PDT-92502:X.Value;PH 1stStgSuctCool Tubes
VAL_23-PDT-92522:X.Value;PH 1stStgSuctScrubber Gas Out
VAL_23-PDT-92530:X.Value;PH 1stStgComp Suct Str
VAL_23-PDT-92534:X.Value;PH 1stStgComp Suction
VAL_23-PT-92504:X.Value;PH 1stStgSuctCool Gas Out
VAL_23-PT-92512:X.Value;PH 1stStgSuctCool Gas In
VAL_23-PT-92521:X.Value;PH 1stStgSuctScrubber
VAL_23-PT-92523:X.Value;PH 1stStgSuctScrubber
VAL_23-PT-92532:X.Value;PH 1stStgComp Suction
VAL_23-PT-92535:X.Value;PH 1stStgComp Suction
VAL_23-TIC-92504:Control Module:BA;PH 1stStgSuctCool Gas Out Auto
VAL_23-TIC-92504:Control Module:BX;PH 1stStgSuctCool Gas Out External
VAL_23-TIC-92504:Control Module:PD;PH 1stStgSuctCool Gas Out Derivate time
VAL_23-TIC-92504:Control Module:PI;PH 1stStgSuctCool Gas Out Integral time
VAL_23-TIC-92504:Control Module:PP;PH 1stStgSuctCool Gas Out Gain
VAL_23-TIC-92504:Control Module:YR;PH 1stStgSuctCool Gas Out Working Setpoint
VAL_23-TIC-92504:Z.X.Value;PH 1stStgSuctCool Gas Out Measured Value
VAL_23-TIC-92504:Z.Y.Value;PH 1stStgSuctCool Gas Out Output
VAL_23-TT-92502:X.Value;PH 1stStgSuctCool Gas In
VAL_23-TT-92512:X.Value;PH 1stStgSuctCool Gas In
VAL_23-TT-92533:X.Value;PH 1stStgComp Suction
VAL_23-VA-9110-M01-39:X.Value;PH 1st Stg Oil Seperator Running
