Name,Description
VAL_23-TT-96136-08:Z.X.Value,PH 1stStgMtr Winding W
VAL_23-TT-96147-02:X.Value,PH 1st Stg Comp Sealgas Heater
VAL_23-TT-96168:X.Value,PH 1st Stg Comp Inner Seal
VAL_23-TT-96181-03:X.Value,PH 1stStg Lube Oil System Header
VAL_23-TT-96181:Z.X1.Value,PH 1st Stg Oil System Header
VAL_23-TT-96181:Z.X2.Value,PH 1st Stg Oil System Header
VAL_23-TT-96183:X.Value,PH 1stStg Lube Oil Reservoir
VAL_23-VA-9110-M01-39:X.Value,PH 1st Stg Oil Seperator Running
,
VAL_23-VA-9110-M01:Z.Y.Value,PH 1stStgComp Oil Mist Fan
VAL_23-XA-96108-A:Z.X.Value,PH 1stStg KEYPH Comp Shaft
VAL_23-XA-96124-A:Z.X.Value,PH 1stStg KEYPH Gear1 Shaft
VAL_23-XA-96125-A:Z.X.Value,PH 1stStg KEYPH Gear2 Shaft
VAL_23-XA-96135-A:Z.X.Value,PH 1stStg KEYPH Mtr Shaft
VAL_23-YA-96105-01:Z.X.Value,PH 1stStg Comp 1 JournBRG DE
VAL_23-YA-96105-02:Z.X.Value,PH 1stStg Comp 1 JournBRG DE
VAL_23-YA-96106-01:Z.X.Value,PH 1stStg Comp1 Journ BRG NDE
VAL_23-YA-96106-02:Z.X.Value,PH 1stStg Comp1 Journ BRG NDE
VAL_23-YA-96117-01:Z.X.Value,PH 1stStg Gear1 Journ BRG DE
VAL_23-YA-96117-02:Z.X.Value,PH 1stStg Gear1 Journ BRG DE
VAL_23-YA-96118-01:Z.X.Value,PH 1stStg Gear1 Journ BRG NDE
VAL_23-YA-96118-02:Z.X.Value,PH 1stStg Gear1 Journ BRG NDE
VAL_23-YA-96119-01:Z.X.Value,PH 1stStg Gear2 Journ BRG NDE
VAL_23-YA-96119-02:Z.X.Value,PH 1stStg Gear2 Journ BRG NDE
VAL_23-YA-96120-01:Z.X.Value,PH 1stStg Gear2 Journ BRG DE
VAL_23-YA-96120-02:Z.X.Value,PH 1stStg Gear2 Journ BRG DE
VAL_23-YA-96122:Z.X.Value,PH 1stStg Gear1 Velocimeter
VAL_23-YA-96123:Z.X.Value,PH 1stStg Gear2 Velocimeter
VAL_23-YZSH-92526-F:X.Value,PH 1st Stg Comp Suct BDV SOV ZSH Flt
VAL_23-YZSH-92545-F:X.Value,PH 1st Stg Comp Disch BDV SOV ZSH Flt
VAL_23-YZSL-92526-F:X.Value,PH 1st Stg Comp Suct BDV SOV ZSL Flt
VAL_23-YZSL-92545-F:X.Value,PH 1st Stg Comp Disch BDV SOV ZSL Flt
VAL_23-ZA-96107-01:Z.X.Value,PH 1stStg Comp Schaft Axial
